matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrenderNA1_5250028059,1782,GameComplete,False,False
NA1_5250006187,1462,GameComplete,True,False
NA1_5247729246,2182,GameComplete,False,False
NA1_5247709981,2143,GameComplete,False,False
NA1_5247034457,1815,GameComplete,False,False
NA1_5247009053,1665,GameComplete,True,False
NA1_5242298488,1723,GameComplete,False,False
NA1_5241785258,2007,GameComplete,False,False
NA1_5241752238,2275,GameComplete,False,False
NA1_5240350713,2017,GameComplete,False,False
NA1_5240328501,1851,GameComplete,False,False
NA1_5240316892,401,GameComplete,True,False
NA1_5240262174,1995,GameComplete,False,False
NA1_5240242691,2106,GameComplete,False,False
NA1_5240222068,2520,GameComplete,False,False
NA1_5240207154,2038,GameComplete,False,False
NA1_5240192589,2014,GameComplete,False,False
NA1_5239981476,1578,GameComplete,False,False
NA1_5239904073,1960,GameComplete,True,False
NA1_5239863590,1778,GameComplete,False,False
NA1_5250028059,1782,GameComplete,False,False
NA1_5239823993,1827,GameComplete,True,False
NA1_5239752046,1682,GameComplete,False,False
NA1_5239729617,1714,GameComplete,False,False
NA1_5239669998,1623,GameComplete,True,False
NA1_5239650684,1613,GameComplete,False,False
NA1_5239631685,2062,GameComplete,False,False
NA1_5239615353,1677,GameComplete,False,False
NA1_5239598014,2007,GameComplete,False,False
NA1_5239584387,1504,GameComplete,True,False
NA1_5239487503,1720,GameComplete,False,False
NA1_5239468986,2712,GameComplete,False,False
NA1_5239456874,1866,GameComplete,False,False
NA1_5239412317,2140,GameComplete,False,False
NA1_5239166729,1844,GameComplete,True,False
NA1_5239144270,1799,GameComplete,False,False
NA1_5239114394,2609,GameComplete,False,False
NA1_5239103230,925,GameComplete,True,False
NA1_5239084478,1511,GameComplete,False,False
NA1_5239068284,1808,GameComplete,False,False
NA1_5239056274,1257,GameComplete,True,False
NA1_5238074417,1854,GameComplete,False,False
NA1_5238026547,1769,GameComplete,True,False
NA1_5236069016,2116,GameComplete,False,False
NA1_5236042203,2217,GameComplete,False,False
NA1_5236009412,1611,GameComplete,True,False
NA1_5235984544,1606,GameComplete,True,False
NA1_5235941421,1582,GameComplete,False,False
NA1_5235919672,1987,GameComplete,False,False
NA1_5235904088,1765,GameComplete,False,False
NA1_5235887567,1650,GameComplete,False,False
NA1_5235629079,1267,GameComplete,True,False
NA1_5235589293,2059,GameComplete,False,False
NA1_5235560804,1562,GameComplete,True,False
NA1_5235514728,2146,GameComplete,True,False
NA1_5235121916,2355,GameComplete,True,False
NA1_5235111242,2592,GameComplete,False,False
NA1_5235105656,1097,GameComplete,True,False
NA1_5235094612,2925,GameComplete,False,False
NA1_5235089976,1673,GameComplete,False,False
NA1_5235078035,2444,GameComplete,False,False
NA1_5235066120,1703,GameComplete,False,False
NA1_5235054794,1688,GameComplete,False,False
NA1_5234994078,1781,GameComplete,True,False
NA1_5234968459,1498,GameComplete,False,False
NA1_5234456344,1709,GameComplete,False,False
NA1_5234449290,1819,GameComplete,False,False
NA1_5233324626,1596,GameComplete,False,False
NA1_5233302173,1780,GameComplete,False,False
NA1_5233278917,2404,GameComplete,False,False
NA1_5233256987,1958,GameComplete,False,False
NA1_5233241521,1452,GameComplete,True,False
NA1_5233218590,2696,GameComplete,True,False
NA1_5228476773,1972,GameComplete,False,False
NA1_5228452133,2014,GameComplete,False,False
NA1_5228422385,2048,GameComplete,False,False
NA1_5228382499,2341,GameComplete,False,False
NA1_5228346688,1910,GameComplete,False,False
NA1_5228310479,2065,GameComplete,False,False
NA1_5228290815,877,GameComplete,True,False
NA1_5228262399,1189,GameComplete,True,False
NA1_5228222774,2271,GameComplete,False,False
NA1_5228195203,1617,GameComplete,True,False
NA1_5228166576,1865,GameComplete,False,False
NA1_5227750132,2462,GameComplete,True,False
NA1_5227717748,2357,GameComplete,False,False
NA1_5227681903,2096,GameComplete,False,False
NA1_5227642808,1750,GameComplete,False,False
NA1_5227052548,940,GameComplete,True,False
NA1_5227015680,2055,GameComplete,False,False
NA1_5226977383,2116,GameComplete,False,False
NA1_5226942955,1970,GameComplete,False,False
NA1_5226907695,1711,GameComplete,False,False
NA1_5204066750,2666,GameComplete,False,False
NA1_5198781156,1738,GameComplete,True,False
NA1_5198758929,2413,GameComplete,False,False
NA1_5198727065,2551,GameComplete,False,False
NA1_5141954831,1810,GameComplete,False,False
NA1_5141928380,2080,GameComplete,True,False
NA1_5141900768,2486,GameComplete,False,False
NA1_5141878203,2138,GameComplete,False,False
NA1_5251338122,1750,GameComplete,False,False
NA1_5251326120,1984,GameComplete,False,False
NA1_5248766018,1139,GameComplete,True,False
NA1_5246210100,3082,GameComplete,False,False
NA1_5246197550,913,GameComplete,True,False
